date,USD,EUR
01.01.2021,28.2746,34.7396
02.01.2021,28.2746,34.7396
03.01.2021,28.2746,34.7396
04.01.2021,28.2746,34.7396
05.01.2021,28.431,34.9389
06.01.2021,28.4028,34.846
07.01.2021,28.4028,34.846
08.01.2021,28.4028,34.846
09.01.2021,28.4028,34.846
10.01.2021,28.4028,34.846
11.01.2021,28.2847,34.909
12.01.2021,28.2038,34.2817
13.01.2021,28.046,34.0787
14.01.2021,27.9705,34.0373
15.01.2021,28.0609,33.9888
16.01.2021,28.0524,34.0121
17.01.2021,28.0524,34.0121
18.01.2021,28.0524,34.0121
19.01.2021,28.1926,34.0158
20.01.2021,28.1544,34.1555
21.01.2021,28.2035,34.1488
22.01.2021,28.2561,34.3651
23.01.2021,28.2561,34.3651
24.01.2021,28.2561,34.3651
25.01.2021,28.1648,34.2526
26.01.2021,28.1665,34.2265
27.01.2021,28.1524,34.1897
28.01.2021,28.1652,34.1207
29.01.2021,28.1929,34.1035
30.01.2021,28.1929,34.1035
31.01.2021,28.1929,34.1035
01.02.2021,28.1324,34.157
02.02.2021,28.0603,33.9039
03.02.2021,28.0589,33.7913
04.02.2021,27.995,33.6374
05.02.2021,27.8885,33.4509
06.02.2021,27.8885,33.4509
07.02.2021,27.8885,33.4509
08.02.2021,27.7711,33.2823
09.02.2021,27.6651,33.2604
10.02.2021,27.6426,33.4406
11.02.2021,27.7665,33.6655
12.02.2021,27.8384,33.8111
13.02.2021,27.8384,33.8111
14.02.2021,27.8384,33.8111
15.02.2021,27.844,33.6801
16.02.2021,27.9671,33.9297
17.02.2021,27.8304,33.7708
18.02.2021,27.9038,33.6422
19.02.2021,27.8461,33.6478
20.02.2021,27.8461,33.6478
21.02.2021,27.8461,33.6478
22.02.2021,27.8468,33.7768
23.02.2021,27.9304,33.8866
24.02.2021,27.8976,33.883
25.02.2021,27.9492,33.9289
26.02.2021,27.9301,34.1459
27.02.2021,27.9301,34.1459
28.02.2021,27.9301,34.1459
01.03.2021,27.9456,33.8449
02.03.2021,28.0007,33.717
03.03.2021,27.933,33.6006
04.03.2021,27.8477,33.5565
05.03.2021,27.7564,33.4062
06.03.2021,27.7564,33.4062
07.03.2021,27.7564,33.4062
08.03.2021,27.7564,33.4062
09.03.2021,27.7091,33.075
10.03.2021,27.7431,32.9741
11.03.2021,27.7016,32.9317
12.03.2021,27.7486,33.1748
13.03.2021,27.7486,33.1748
14.03.2021,27.7486,33.1748
15.03.2021,27.7305,33.0839
16.03.2021,27.6434,32.9523
17.03.2021,27.6525,32.9632
18.03.2021,27.6978,32.9853
19.03.2021,27.6828,32.9785
20.03.2021,27.6828,32.9785
21.03.2021,27.6828,32.9785
22.03.2021,27.7184,32.9502
23.03.2021,27.6871,33.0072
24.03.2021,27.7295,32.932900000000004
25.03.2021,27.8706,32.9389
26.03.2021,27.9698,33.0337
27.03.2021,27.9698,33.0337
28.03.2021,27.9698,33.0337
29.03.2021,27.9679,32.9532
30.03.2021,27.9694,32.9661
31.03.2021,27.8852,32.7233
01.04.2021,27.8226,32.629
02.04.2021,27.8324,32.7003
03.04.2021,27.8324,32.7003
04.04.2021,27.8324,32.7003
05.04.2021,27.9555,32.8365
06.04.2021,27.939,32.8632
07.04.2021,27.8384,32.898
08.04.2021,27.8923,33.1388
09.04.2021,27.9768,33.2266
10.04.2021,27.9768,33.2266
11.04.2021,27.9768,33.2266
12.04.2021,27.9094,33.1522
13.04.2021,27.9335,33.2758
14.04.2021,28.0156,33.3218
15.04.2021,27.9765,33.4753
16.04.2021,27.9592,33.4616
17.04.2021,27.9592,33.4616
18.04.2021,27.9592,33.4616
19.04.2021,27.9783,33.525
20.04.2021,28.0087,33.7099
21.04.2021,28.0096,33.7362
22.04.2021,28.0576,33.6986
23.04.2021,28.0642,33.8103
24.04.2021,28.0642,33.8103
25.04.2021,28.0642,33.8103
26.04.2021,27.9014,33.6714
27.04.2021,27.8558,33.6512
28.04.2021,27.7715,33.5577
29.04.2021,27.7867,33.526
30.04.2021,27.75,33.6427
01.05.2021,27.75,33.6427
02.05.2021,27.75,33.6427
03.05.2021,27.75,33.6427
04.05.2021,27.75,33.6427
05.05.2021,27.733,33.5112
06.05.2021,27.7339,33.2751
07.05.2021,27.7205,33.4129
08.05.2021,27.7205,33.4129
09.05.2021,27.7205,33.4129
10.05.2021,27.7205,33.4129
11.05.2021,27.7641,33.4904
12.05.2021,27.6744,33.6728
13.05.2021,27.6318,33.4953
14.05.2021,27.6273,33.3738
15.05.2021,27.6273,33.3738
16.05.2021,27.6273,33.3738
17.05.2021,27.6142,33.4781
18.05.2021,27.555,33.4449
19.05.2021,27.4368,33.5319
20.05.2021,27.4166,33.488
21.05.2021,27.4665,33.5174
22.05.2021,27.4665,33.5174
23.05.2021,27.4665,33.5174
24.05.2021,27.4572,33.4799
25.05.2021,27.4281,33.4911
26.05.2021,27.4553,33.6643
27.05.2021,27.5461,33.6765
28.05.2021,27.526,33.5693
29.05.2021,27.526,33.5693
30.05.2021,27.526,33.5693
31.05.2021,27.5004,33.3896
01.06.2021,27.4674,33.5116
02.06.2021,27.4381,33.5335
03.06.2021,27.3449,33.3348
04.06.2021,27.34,33.2577
05.06.2021,27.34,33.2577
06.06.2021,27.34,33.2577
07.06.2021,27.2914,33.0635
08.06.2021,27.1923,33.0781
09.06.2021,27.1764,33.1104
10.06.2021,27.0906,33.0248
11.06.2021,27.1068,32.989
12.06.2021,27.1068,32.989
13.06.2021,27.1068,32.989
14.06.2021,27.0404,32.7905
15.06.2021,26.9957,32.7053
16.06.2021,26.9258,32.6166
17.06.2021,27.0275,32.7722
18.06.2021,27.1712,32.4424
19.06.2021,27.1712,32.4424
20.06.2021,27.1712,32.4424
21.06.2021,27.1712,32.4424
22.06.2021,27.1935,32.2882
23.06.2021,27.305,32.467
24.06.2021,27.2737,32.6003
25.06.2021,27.4589,32.7928
26.06.2021,27.4589,32.7928
27.06.2021,27.4589,32.7928
28.06.2021,27.4589,32.7928
29.06.2021,27.3964,32.7401
30.06.2021,27.1763,32.3018
01.07.2021,27.2275,32.3463
02.07.2021,27.3841,32.5227
03.07.2021,27.3841,32.5227
04.07.2021,27.3841,32.5227
05.07.2021,27.4121,32.4107
06.07.2021,27.290399999999998,32.3732
07.07.2021,27.2497,32.2623
08.07.2021,27.2993,32.291
